Session,Electrode,Tactilo,Mean Amplitude,Condition,Dates
15,C3,4,0.4104638633505771,nonTarget,05.12.2020
15,Cz,4,0.1571572703049145,nonTarget,05.12.2020
15,C4,4,-0.4325143014428834,nonTarget,05.12.2020
15,Pz,4,-0.1196513867890664,nonTarget,05.12.2020
15,Fz,5,-0.3965141063315313,nonTarget,05.12.2020
15,Fc1,5,-0.3256697407925258,nonTarget,05.12.2020
15,Fc2,5,-0.2934191264831109,nonTarget,05.12.2020
15,C3,5,-0.3569033431779792,nonTarget,05.12.2020
15,Cz,5,-0.6617916556036885,nonTarget,05.12.2020
15,C4,5,-0.396999607197156,nonTarget,05.12.2020
15,Pz,5,-0.8326156050498033,nonTarget,05.12.2020
15,Fz,6,0.4741333858292689,nonTarget,05.12.2020
15,Fc1,6,0.4632177057501163,nonTarget,05.12.2020
15,Fc2,6,-0.0520816232349787,nonTarget,05.12.2020
15,C3,6,1.0321534978703593,nonTarget,05.12.2020
15,Cz,6,0.0727613705623999,nonTarget,05.12.2020
15,C4,6,-0.5839753273573849,nonTarget,05.12.2020
15,Pz,6,-0.3579518138898165,nonTarget,05.12.2020
17,Fz,1,1.2576414269533909,Target,08.12.2020
17,Fc1,1,0.6294672245352957,Target,08.12.2020
17,Fc2,1,0.8969612291681028,Target,08.12.2020
17,C3,1,0.1880869116008287,Target,08.12.2020
17,Cz,1,0.3712456604525117,Target,08.12.2020
17,C4,1,0.7432505645648589,Target,08.12.2020
17,Pz,1,-1.0901993368240217,Target,08.12.2020
17,Fz,2,2.130280435739512,Target,08.12.2020
17,Fc1,2,2.2348152248314985,Target,08.12.2020
17,Fc2,2,1.757898146412989,Target,08.12.2020
17,C3,2,1.6388092651901136,Target,08.12.2020
17,Cz,2,1.089583992430394,Target,08.12.2020
17,C4,2,1.0542133836151484,Target,08.12.2020
17,Pz,2,0.4780661208031169,Target,08.12.2020
17,Fz,3,3.2528150893175733,Target,08.12.2020
17,Fc1,3,3.0530754057547127,Target,08.12.2020
17,Fc2,3,3.1600371342476423,Target,08.12.2020
17,C3,3,2.0503691922113063,Target,08.12.2020
17,Cz,3,3.874209724727357,Target,08.12.2020
17,C4,3,2.55828608355416,Target,08.12.2020
17,Pz,3,0.5175034307769603,Target,08.12.2020
17,Fz,4,0.3334030321141093,Target,08.12.2020
17,Fc1,4,1.8634140247764708,Target,08.12.2020
17,Fc2,4,1.5617594052358454,Target,08.12.2020
17,C3,4,1.6041641323860576,Target,08.12.2020
17,Cz,4,2.1931212890243525,Target,08.12.2020
17,C4,4,1.0348725714073246,Target,08.12.2020
17,Pz,4,1.6399323855759462,Target,08.12.2020
17,Fz,5,2.7227005370602466,Target,08.12.2020
17,Fc1,5,2.2621095418987918,Target,08.12.2020
17,Fc2,5,1.9141506689910035,Target,08.12.2020
17,C3,5,1.444172260886366,Target,08.12.2020
17,Cz,5,1.4174352865957982,Target,08.12.2020
17,C4,5,1.6168882598321832,Target,08.12.2020
17,Pz,5,1.5064827781736456,Target,08.12.2020
17,Fz,6,-0.5463359274559054,Target,08.12.2020
17,Fc1,6,-0.2237258410268026,Target,08.12.2020
